C9,13.79,-2.87,0.00,820pF,NORDIC_NRF_3_RESC0201_L
D2,-18.87,12.13,180.00,MBR0530,ESP32_C6_LIBRARY_5_SOD3716X135N
D3,-2.47,6.85,270.00,USBLC6-2SC6Y,ESP32_C6_LIBRARY_3_SOT95P280X145-6N
D4,-18.90,13.97,0.00,MBR0530,ESP32_C6_LIBRARY_5_SOD3716X135N
D5,-17.96,10.07,0.00,MBR0530,ESP32_C6_LIBRARY_5_SOD3716X135N
DMG2305UX-7,20.33,-5.88,270.00,20V/4.2A/52mΩ/1.4W,ESP32_C6_LIBRARY_4_ESP32_C6_LIBRARY_4_ESP32_C6_LIBRARY_4_ESP32_C6_LIBRARY_4_ESP32_WROVER_SPARKFUN-DISCRETESEMI_SOT23-3
EPD_C1,-11.44,3.56,180.00,1uF/50V,NORDIC_NRF_3_RESC0402_L
EPD_C10,-9.18,-5.48,180.00,1uF/50V,NORDIC_NRF_3_RESC0402_L
EPD_C11,-11.63,-5.40,180.00,1uF/50V,NORDIC_NRF_3_RESC0402_L
EPD_C12,-10.19,-6.53,180.00,1uF/50V,NORDIC_NRF_3_RESC0402_L
EPD_C2,-10.95,4.59,180.00,1uF/50V,NORDIC_NRF_3_RESC0402_L
EPD_C5,-9.81,0.26,180.00,0.1uF/50V,NORDIC_NRF_3_RESC0402_L
EPD_C6,-9.56,-0.87,180.00,1uF/50V,NORDIC_NRF_3_RESC0402_L
EPD_C7,-9.58,-1.99,180.00,1uF/50V,NORDIC_NRF_3_RESC0402_L
EPD_C8,-9.49,-3.12,180.00,1uF/50V,NORDIC_NRF_3_RESC0402_L
EPD_C9,-10.90,-4.15,180.00,1uF/50V,NORDIC_NRF_3_RESC0402_L
IC1,0.57,-6.65,270.00,BQ25180,BQ25180YBGR_BGA8C40P2X4_100X155X50
IC2,-5.36,-7.07,270.00,DRV2605YZFR,DRV2605YZFR_BGA9C50P3X3_144X144X62
IC3,-5.64,0.33,0.00,BMA423,BMA423_BMA423
IC9,-17.26,-11.08,180.00,RT6160,RT6160AWSC_BGA15C40P3X5_140X230X60
J1,-14.30,0.00,270.00,503480-2400,503480-2400_5034802400
J2,14.58,10.98,180.00,TC2030,TC2030-IDC_TC2030IDC
J4,-1.23,13.80,180.00,KH-TYPE-C-16P,KH-TYPE-C-16P_KINGHELM_KH-TYPE-C-16P
L1,12.41,-0.84,0.00,3.9nH,NORDIC_NRF_2_RESC0402_L
L2,4.07,6.53,90.00,10µH,NORDIC_NRF_2_RESC0402_L
L3,4.58,8.51,0.00,15nH,NORDIC_NRF_2_RESC0402_L
L5,-9.02,9.25,270.00,68uH,ESP32_C6_LIBRARY_2_IND_4828-WE-TPC_WRE
L7,-11.07,-9.38,90.00,MLP2016SR47MT0S1,MLP2016SR47MT0S1_INDC2016X100N
Q3,-14.74,13.29,90.00,SI1308EDL-T1-GE3,ESP32_C6_LIBRARY_6_SOT65P210X110-3N
R17,-18.61,-15.55,180.00,3K3,CPF0201D7K68C1_0201
R18,-20.80,-13.81,0.00,3K3,CPF0201D7K68C1_0201
R1_EP_DR1,-13.55,14.89,270.00,0.47,CPF0201D7K68C1_0201
R1_USB,0.03,10.15,180.00,5K1,CPF0201D7K68C1_0201
R2,-13.97,-6.65,0.00,0,CPF0201D7K68C1_0201
R2_EP_DR,-14.55,10.79,90.00,10K,CPF0201D7K68C1_0201
R2_USB,-2.95,10.14,0.00,5K1,CPF0201D7K68C1_0201
R3,-6.51,-1.35,180.00,0,CPF0201D7K68C1_0201
R4,-14.35,-12.03,270.00,0,CPF0201D7K68C1_0201
R5,-12.45,-12.17,90.00,10K,CPF0201D7K68C1_0201
R7,8.85,-12.39,270.00,10K,CPF0201D7K68C1_0201
R8,-1.85,-12.35,180.00,10K,CPF0201D7K68C1_0201
R9,-1.65,-6.55,180.00,10K,CPF0201D7K68C1_0201
R_PWR_EPD,17.03,-6.55,0.00,10K,CPF0201D7K68C1_0201
R_TYPE_SEL,-12.65,16.49,90.00,2.2,CPF0201D7K68C1_0201
SJ1,-8.12,14.03,180.00,SJ1,ESP32_C6_LIBRARY_7_JUMPER_SJ
SW_DN,10.55,-14.14,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
SW_ENT,-0.45,-14.14,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
SW_UP,-11.35,-14.14,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
TP_3.3V,16.16,16.14,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_3V3,10.18,16.22,180.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_BAT_GND,20.78,6.19,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_GND,4.95,-15.68,90.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_ON,-7.08,-9.82,90.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_OP,-2.75,-8.85,270.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_RESET,6.74,12.96,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SCL,-15.30,-13.52,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SDA,-20.92,-9.08,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SWDCLK,7.30,16.22,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SWDIO,15.94,3.39,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SWO,12.52,-6.81,90.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_VBAT,10.29,-11.08,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_VREG,-1.12,-10.28,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
U1,7.16,-0.73,0.00," nRF52840",NORDIC_NRF_4_AQFN50P700X700X85_HS-74N
U3,6.99,-8.89,90.00,MAX17048G+T10,ESP32_C6_LIBRARY_SON50P200X200X80-9N
X1,12.27,2.28,90.00,32MHZ,NORDIC_NRF_BT-XTAL_2016_N
X2,0.39,4.88,270.00,32.768kHz,NORDIC_NRF_1_XTAL_3215_N
